Time Step,Opinion Mean,Opinion SD,Opinion Min,Opinion Max,Friends Mean,Friends SD
0,-0.0032083777869527552,0.5833705706296095,-1.0,1.0,10.035,3.1739525831366797
1,-0.00319927939176867,0.5859024995511118,-1.0,1.0,10.035,3.1739525831366797
2,-0.004461508739774263,0.5877804344307156,-1.0,1.0,10.035,3.1739525831366797
3,-0.004490542332790811,0.591077582062903,-1.0,1.0,10.035,3.1739525831366797
4,-0.0041659667835365595,0.5925202055989077,-1.0,1.0,10.035,3.1739525831366797
5,-0.0044657936247444185,0.5948117369469951,-1.0,1.0,10.035,3.1739525831366797
6,-0.0035636746678113455,0.5953634190308498,-1.0,1.0,10.035,3.1739525831366797
7,-0.003962658277338101,0.5971013634739984,-1.0,1.0,10.035,3.1739525831366797
8,-0.005087046691199789,0.5993426119669365,-1.0,1.0,10.035,3.1739525831366797
9,-0.004694620413310625,0.6017074481683513,-1.0,1.0,10.035,3.1739525831366797
10,-0.004086897956876125,0.6031543107430662,-1.0,1.0,10.035,3.1739525831366797
11,-0.005144992338119905,0.6045135921925465,-1.0,1.0,10.035,3.1739525831366797
12,-0.004696837613134485,0.6057076015612799,-1.0,1.0,10.035,3.1739525831366797
13,-0.005934318675793489,0.6093889284400068,-1.0,1.0,10.035,3.1739525831366797
14,-0.006637175505575767,0.6113240210721125,-1.0,1.0,10.035,3.1739525831366797
15,-0.006283403423409959,0.6146608965924879,-1.0,1.0,10.035,3.1739525831366797
16,-0.006562353223296751,0.6135907963450535,-1.0,1.0,10.035,3.1739525831366797
17,-0.008023405831804997,0.6148669432309646,-1.0,1.0,10.035,3.1739525831366797
18,-0.00860997481700342,0.6148872736344836,-1.0,1.0,10.035,3.1739525831366797
19,-0.009026395569545426,0.6164205432061444,-1.0,1.0,10.035,3.1739525831366797
20,-0.010064588988981162,0.6171790141754454,-1.0,1.0,10.035,3.1739525831366797
21,-0.010993071996572892,0.6189227353201547,-1.0,1.0,10.035,3.1739525831366797
22,-0.010846562830747536,0.6202718978507649,-1.0,1.0,10.035,3.1739525831366797
23,-0.010425006682150103,0.6214590425689291,-1.0,1.0,10.035,3.1739525831366797
24,-0.010092200459185139,0.6237244776314536,-1.0,1.0,10.035,3.1739525831366797
25,-0.009722261380458478,0.6252130841214233,-1.0,1.0,10.035,3.1739525831366797
26,-0.008408052818672131,0.6275866230738576,-1.0,1.0,10.035,3.1739525831366797
27,-0.008350485277720799,0.6267576742944935,-1.0,1.0,10.035,3.1739525831366797
28,-0.007756331267988109,0.6292603532685332,-1.0,1.0,10.035,3.1739525831366797
29,-0.007805281070583588,0.6296231925232244,-1.0,1.0,10.035,3.1739525831366797
30,-0.008377473308404399,0.6300317618430678,-1.0,1.0,10.035,3.1739525831366797
31,-0.00979365269491584,0.6311621787367178,-1.0,1.0,10.035,3.1739525831366797
32,-0.008972583319897863,0.6321197939835248,-1.0,1.0,10.035,3.1739525831366797
33,-0.009946474077393672,0.6330051940092242,-1.0,1.0,10.035,3.1739525831366797
34,-0.010540088445461601,0.6332236469299689,-1.0,1.0,10.035,3.1739525831366797
35,-0.01113317846639052,0.6324513498509546,-1.0,1.0,10.035,3.1739525831366797
36,-0.010490087764822527,0.6334063185033415,-1.0,1.0,10.035,3.1739525831366797
37,-0.010946111591733892,0.6333828910770327,-1.0,1.0,10.035,3.1739525831366797
